Unnamed: 0,Polymer,Polymer_SMILES,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test,Polymer_BRICS
1,PBS,COCCCCOC(=O)CCC(C)=O,323.15,2.209,0.02063,0.02061,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
2,PBS,COCCCCOC(=O)CCC(C)=O,323.15,3.068,0.02826,0.02828,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
3,PBS,COCCCCOC(=O)CCC(C)=O,323.15,4.245,0.03879,0.03877,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
4,PBS,COCCCCOC(=O)CCC(C)=O,323.15,6.272,0.05681,0.05677,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
6,PBS,COCCCCOC(=O)CCC(C)=O,323.15,10.129,0.1076,0.10754,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
7,PBS,COCCCCOC(=O)CCC(C)=O,353.15,1.148,0.00876,0.00872,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
8,PBS,COCCCCOC(=O)CCC(C)=O,353.15,2.103,0.01523,0.01524,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
9,PBS,COCCCCOC(=O)CCC(C)=O,353.15,3.158,0.02243,0.02237,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
10,PBS,COCCCCOC(=O)CCC(C)=O,353.15,4.218,0.02961,0.02964,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
11,PBS,COCCCCOC(=O)CCC(C)=O,353.15,6.169,0.04332,0.04339,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
12,PBS,COCCCCOC(=O)CCC(C)=O,353.15,8.05,0.05601,0.05597,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
13,PBS,COCCCCOC(=O)CCC(C)=O,393.15,4.141,0.03776,0.03776,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
14,PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.076,0.07357,0.07352,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
15,PBS,COCCCCOC(=O)CCC(C)=O,393.15,8.928,0.0813,0.08138,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
16,PBS,COCCCCOC(=O)CCC(C)=O,393.15,12.076,0.1098,0.10978,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
18,PBS,COCCCCOC(=O)CCC(C)=O,393.15,16.544,0.1481,0.14815,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
19,PBS,COCCCCOC(=O)CCC(C)=O,393.15,19.987,0.1761,0.17605,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
20,PBS,COCCCCOC(=O)CCC(C)=O,423.15,2.221,0.01501,0.01509,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
21,PBS,COCCCCOC(=O)CCC(C)=O,423.15,2.935,0.01993,0.01994,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
22,PBS,COCCCCOC(=O)CCC(C)=O,423.15,4.705,0.03216,0.03214,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
23,PBS,COCCCCOC(=O)CCC(C)=O,423.15,6.035,0.04145,0.04139,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
24,PBS,COCCCCOC(=O)CCC(C)=O,423.15,6.572,0.04529,0.04532,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
25,PBS,COCCCCOC(=O)CCC(C)=O,423.15,8.242,0.0571,0.05713,train,"['CC(=O)CCC=O', 'O', 'CO', 'CCCC']"
