Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,SD,Polymer_BRICS,Solvent_BRICS,PS_pair_BRICS
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Toluene,c1ccccc1C,4.13,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'Cc1ccccc1']",['Cc1ccccc1'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'Cc1ccccc1']"
PDMS,C[Si](C)(C)OC,EA,CCOC(=O)C,26.91,"['CO[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO[Si](C)(C)C', '.', 'CC=O', 'O', 'CC']"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,EA,CCOC(=O)C,15.65,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC=O', 'O', 'CC']"
PAN,CCC(C)C#N,EA,CCOC(=O)C,0.27,"['CCC(C)C#N', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CCC(C)C#N', '.', 'CC=O', 'O', 'CC']"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,EA,CCOC(=O)C,8.63,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC=O', 'O', 'CC']"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,EA,CCOC(=O)C,9.2,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC=O', 'O', 'CC']"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,EA,CCOC(=O)C,4.0,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CC=O', 'O', 'CC']"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,EA,CCOC(=O)C,15.08,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC=O', 'O', 'CC']"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,EA,CCOC(=O)C,6.15,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC=O', 'O', 'CC']","['CC=O', 'O', 'CC']","['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC=O', 'O', 'CC']"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,MEK,CCC(=O)C,18.07,"['CCC', 'CC[Si](C)(C)C', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CCC', 'CC[Si](C)(C)C', '.', 'CCC(C)=O']"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,MEK,CCC(=O)C,19.32,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCC(C)=O']",['CCC(C)=O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CCC(C)=O']"
PAN,CCC(C)C#N,MEK,CCC(=O)C,0.3,"['CCC(C)C#N', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CCC(C)C#N', '.', 'CCC(C)=O']"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,MEK,CCC(=O)C,11.79,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CCC(C)=O']"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,11.17,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CCC(C)=O']"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,MEK,CCC(=O)C,5.43,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1ccccc1', 'C', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccccc1', '.', 'CCC(C)=O']"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,MEK,CCC(=O)C,17.01,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CCC(C)=O']"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,MEK,CCC(=O)C,6.94,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(C)=O']",['CCC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(C)=O']"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Acetone,CC(=O)C,12.92,"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)=O']",['CC(C)=O'],"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)=O']"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Acetone,CC(=O)C,12.98,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)=O']",['CC(C)=O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)=O']"
PAN,CCC(C)C#N,Acetone,CC(=O)C,0.27,"['CCC(C)C#N', '.', 'CC(C)=O']",['CC(C)=O'],"['CCC(C)C#N', '.', 'CC(C)=O']"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Acetone,CC(=O)C,11.82,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)=O']",['CC(C)=O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)=O']"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Acetone,CC(=O)C,7.61,"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC(C)=O']",['CC(C)=O'],"['CO', 'O=S(=O)(c1ccccc1)c1ccccc1', 'O', 'c1ccccc1', 'Cc1ccccc1', 'CCC', '.', 'CC(C)=O']"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Acetone,CC(=O)C,15.58,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC(C)=O']",['CC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccc2c(c1)C(C)(c1ccccc1)CC2(C)C', '.', 'CC(C)=O']"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Acetone,CC(=O)C,7.17,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC(C)=O']",['CC(C)=O'],"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CC(C)=O']"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,IPA,CC(C)O,27.51,"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)O']",['CC(C)O'],"['CCC', 'CC[Si](C)(C)C', '.', 'CC(C)O']"
PDMS,C[Si](C)(C)OC,IPA,CC(C)O,10.71,"['CO[Si](C)(C)C', '.', 'CC(C)O']",['CC(C)O'],"['CO[Si](C)(C)C', '.', 'CC(C)O']"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,IPA,CC(C)O,20.51,"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)O']",['CC(C)O'],"['O', 'CCCCC', 'CCCCC', 'CCCC', 'CN', 'CCCCCCCCCCCC=O', '.', 'CC(C)O']"
PAN,CCC(C)C#N,IPA,CC(C)O,0.0,"['CCC(C)C#N', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)C#N', '.', 'CC(C)O']"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,IPA,CC(C)O,2.28,"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'Cc1ccc(S(=O)(=O)c2ccccc2)cc1', '.', 'CC(C)O']"
