Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Contact_angle,Thickness,Solvent_solubility_parameter,xw_wt_percent,Temperature,Permeate_pressure,J_total_flux,a_separation_factor,Polymer_BRICS,Solvent_BRICS,PS_pair_BRICS,Thickness_um,Solvent_solubility_parameter_Mpa_sqrt,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,40,3.0,0.0711,105.89
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,17.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0764,103.3
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,17.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0846,88.26
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,60,3.0,0.0853,69.11
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,60,3.0,0.0916,88.81
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,60,3.0,0.0977,87.81
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,67,3.0,0.1012,48.59
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,60,3.0,0.1084,41.1
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,60,3.0,0.11,52.64
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",25.0,23.5,30,2.0,0.1505,125.0
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",50.0,23.5,30,6.7,0.1324,163.418803
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",50.0,23.5,50,0.06,0.1886,36.0
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",50.0,23.5,60,0.06,0.2,23.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,5.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,0.2328,3603.305055
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ethanol,CCO,55.1,,,10.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",['CCO'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",45.0,26.5,60,3.0,0.2876,178.956407
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,10.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,0.2963,1533.087739
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",45.0,26.5,60,3.0,0.5297,1499.077811
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ethanol,CCO,55.1,,,20.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",['CCO'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",45.0,26.5,60,3.0,0.6962,75.704358
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,20.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,0.8889,386.926848
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",45.0,26.5,60,3.0,1.0065,1287.923625
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ethanol,CCO,55.1,,,30.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",['CCO'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CCO']",45.0,26.5,60,3.0,1.2486,41.246264
chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,30.0,,,,,"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O', 'CO', 'CC1OCCC(O)C1N', 'NC1COCCC1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,1.7778,118.076902
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,2.0317,1394.215469
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",45.0,23.5,60,3.0,3.619,1000.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,5.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,30,1.33,0.0506,385.26
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,30,1.33,0.0677,171.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,40,1.33,0.0753,123.35
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,15.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,30,1.33,0.0998,103.31
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,30,1.33,0.0999,62.67
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,25.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,30,1.33,0.1,27.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",40.0,23.5,50,1.33,0.157,87.77
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),acetic_acid,CC(=O)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",['CC(=O)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",30.0,21.4,30,13.3,0.022,15.7
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),acetic_acid,CC(=O)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",['CC(=O)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",30.0,21.4,30,13.3,0.069,21.8
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),acetic_acid,CC(=O)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",['CC(=O)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",30.0,21.4,30,13.3,0.258,6.31
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),acetic_acid,CC(=O)O,37.37,,,50.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",['CC(=O)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",30.0,21.4,30,13.3,0.477,2.7
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),acetic_acid,CC(=O)O,37.37,,,40.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",['CC(=O)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(=O)O']",30.0,21.4,30,13.3,0.485,3.96
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,5.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,30,13.3,0.028,22.331303
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,4.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,40,13.3,0.036,27.914341
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,30,13.3,0.036,10.556714
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,15.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,30,13.3,0.053,6.58029
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,4.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,50,13.3,0.098,25.792531
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,4.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,60,13.3,0.121,23.932894
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,30,13.3,0.133,2423.432432
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,15.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,30,13.3,0.167,357.581197
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,4.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",10.0,26.5,70,13.3,0.173,21.67079
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,50,13.3,0.204,285.743152
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,30,13.3,0.232,223.272727
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,60,13.3,0.287,196.480147
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",10.0,23.5,70,13.3,0.332,159.806471
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.062,653.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.068,340.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,40,13.3,0.072,243.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.075,189.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,50,13.3,0.08,174.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,12.6,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,60,13.3,0.084,140.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,40.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.127,38.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,50.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.133,25.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",62.5,26.5,30,13.3,0.027,35.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ethanol,CCO,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",['CCO'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CCO']",62.5,26.5,30,13.3,0.042,6.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",62.5,23.5,30,13.3,0.122,223.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",62.5,23.5,30,13.3,0.143,127.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.0679,653.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.1242,223.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.1701,127.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,40.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.2411,38.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,50.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.3536,25.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.085,223.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,40,13.3,0.107,355.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.109,127.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,10.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,50,13.3,0.121,285.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,30.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,40,13.3,0.122,56.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,40,13.3,0.131,118.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,40.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.145,38.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,20.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,50,13.3,0.157,93.0
alginate,O=C(O)C1OC(C)C(O)C(O)C1O(C).O=C(O)C1OC(C)C(O)C(O)C1O(C),ipa,CC(C)O,37.37,,,50.0,,,,,"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",['CC(C)O'],"['CO', 'O=CO', 'CC1OCCC(O)C1O', '.', 'CC(C)O']",50.0,23.5,30,13.3,0.177,25.0
