Unnamed: 0,Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Augmented_SMILES,Contact_angle,Thickness_um,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo
14,peba,C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC,ipa,CC(C)O,"['C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O', 'CC=O.COC(C)=O.COC.C(CCCCCNC)CCCCCC(=O)C.C(COC)CCC.C(O)(C)C', 'C(C)=O.O=C(C)OC.COC.C(CCCCCCCNC)CCCC(=O)C.O(CCCCC)C.OC(C)C', 'O=CC.COC(C)=O.COC.C(NC)CCCCCCCCCCC(C)=O.C(CCCOC)C.CC(O)C', 'O=CC.CC(=O)OC.COC.C(CCCCCCC(=O)C)CCCCNC.C(CC)CCOC.C(C)(C)O', 'CC=O.C(OC)(C)=O.COC.N(CCCCCCCCCCCC(=O)C)C.C(CC)CCOC.C(C)(O)C']",89.0,100.0,23.5,90.0,60,6.7,1.7387,0.192473108
15,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,n-butanol,CCCCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO', 'c1(cc2c(nc(o2)-c2ccc(C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1)-c1cc2oc(nc2cc1)C.C(C)CCO', 'n1c(oc2cc(ccc12)-c1cc2c(nc(-c3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(cc4)C)cc3)o2)cc1)C.OCCCC', 'c1c(C)ccc(C(C(F)(F)F)(c2ccc(cc2)-c2oc3c(n2)ccc(-c2cc4oc(C)nc4cc2)c3)C(F)(F)F)c1.C(O)CCC', 'c1(nc2ccc(-c3cc4c(nc(o4)-c4ccc(cc4)C(C(F)(F)F)(c4ccc(C)cc4)C(F)(F)F)cc3)cc2o1)C.C(CC)CO', 'c12ccc(cc1oc(n2)C)-c1ccc2nc(oc2c1)-c1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)cc1.C(CO)CC']",82.0,24.24,23.1,15.0,25,1.0,0.0201,1569.666667
16,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ipa,CC(C)O,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O', 'Cc1nc2ccc(-c3ccc4c(oc(-c5ccc(cc5)C(C(F)(F)F)(C(F)(F)F)c5ccc(cc5)C)n4)c3)cc2o1.OC(C)C', 'c1cc(C)ccc1C(c1ccc(cc1)-c1oc2c(n1)ccc(-c1ccc3c(oc(n3)C)c1)c2)(C(F)(F)F)C(F)(F)F.C(C)(C)O', 'C(F)(F)(C(c1ccc(cc1)-c1nc2c(cc(-c3ccc4c(oc(C)n4)c3)cc2)o1)(c1ccc(C)cc1)C(F)(F)F)F.CC(O)C', 'c1c2oc(C)nc2ccc1-c1ccc2nc(oc2c1)-c1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(C)cc2)cc1.C(C)(O)C', 'FC(C(C(F)(F)F)(c1ccc(C)cc1)c1ccc(-c2oc3c(n2)ccc(c3)-c2ccc3nc(C)oc3c2)cc1)(F)F.C(O)(C)C']",82.0,24.24,23.5,15.0,25,1.0,0.0245,1569.666667
18,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,n-butanol,CCCCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO', 'c1(-c2nc3ccc(-c4cc5c(nc(o5)C)cc4)cc3o2)ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F.C(CC)CO', 'o1c(nc2c1cc(-c1cc3c(cc1)nc(-c1ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F)o3)cc2)C.C(CCO)C', 'c12ccc(-c3ccc4c(c3)oc(n4)C)cc2oc(n1)-c1ccc(C(C(F)(F)F)(c2ccc(C)cc2)C(F)(F)F)cc1.C(O)CCC', 'n1c(-c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)oc2cc(ccc12)-c1cc2c(nc(C)o2)cc1.C(CCC)O', 'FC(F)(C(c1ccc(C)cc1)(c1ccc(-c2nc3c(o2)cc(-c2ccc4nc(oc4c2)C)cc3)cc1)C(F)(F)F)F.OCCCC']",82.0,24.24,23.1,15.0,25,1.0,0.0331,1044.555556
19,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,n-butanol,CCCCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO', 'c1c(C)ccc(c1)C(C(F)(F)F)(c1ccc(cc1)-c1oc2cc(-c3ccc4nc(oc4c3)C)ccc2n1)C(F)(F)F.OCCCC', 'c1c(ccc(C(C(F)(F)F)(c2ccc(-c3oc4c(ccc(c4)-c4ccc5nc(C)oc5c4)n3)cc2)C(F)(F)F)c1)C.C(O)CCC', 'Cc1oc2cc(-c3ccc4c(c3)oc(n4)-c3ccc(C(C(F)(F)F)(c4ccc(cc4)C)C(F)(F)F)cc3)ccc2n1.C(CCO)C', 'c1c(cc2oc(nc2c1)C)-c1cc2c(nc(o2)-c2ccc(C(C(F)(F)F)(c3ccc(C)cc3)C(F)(F)F)cc2)cc1.C(CO)CC', 'c1cc(ccc1C(c1ccc(C)cc1)(C(F)(F)F)C(F)(F)F)-c1nc2ccc(-c3cc4c(nc(o4)C)cc3)cc2o1.C(CC)CO']",82.0,24.24,23.1,15.0,25,1.0,0.0345,1569.666667
20,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ipa,CC(C)O,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O', 'c1(C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2oc(nc2cc1)C.OC(C)C', 'C(F)(C(c1ccc(C)cc1)(c1ccc(cc1)-c1nc2c(cc(cc2)-c2cc3oc(C)nc3cc2)o1)C(F)(F)F)(F)F.CC(O)C', 'c1(ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F)-c1oc2cc(ccc2n1)-c1ccc2c(c1)oc(n2)C.C(C)(C)O', 'C(F)(F)(C(c1ccc(cc1)-c1nc2c(o1)cc(cc2)-c1cc2c(cc1)nc(o2)C)(c1ccc(cc1)C)C(F)(F)F)F.C(O)(C)C', 'o1c(-c2ccc(cc2)C(C(F)(F)F)(c2ccc(C)cc2)C(F)(F)F)nc2ccc(cc21)-c1cc2c(nc(C)o2)cc1.C(C)(O)C']",82.0,24.24,23.5,15.0,25,1.0,0.0374,1044.555556
21,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ethanol,CCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO', 'c1cc2nc(C)oc2cc1-c1ccc2nc(-c3ccc(C(c4ccc(cc4)C)(C(F)(F)F)C(F)(F)F)cc3)oc2c1.C(C)O', 'c1(nc2ccc(cc2o1)-c1cc2c(cc1)nc(-c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(C)cc1)o2)C.C(O)C', 'c1(cc2oc(C)nc2cc1)-c1ccc2nc(-c3ccc(cc3)C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)oc2c1.OCC']",82.0,24.24,26.5,10.0,25,1.0,0.046,56.842105
22,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ipa,CC(C)O,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O', 'FC(C(c1ccc(cc1)C)(c1ccc(-c2oc3cc(-c4cc5c(nc(o5)C)cc4)ccc3n2)cc1)C(F)(F)F)(F)F.C(O)(C)C', 'c12cc(-c3cc4oc(-c5ccc(cc5)C(c5ccc(cc5)C)(C(F)(F)F)C(F)(F)F)nc4cc3)ccc2nc(C)o1.C(C)(C)O', 'c1c2oc(nc2ccc1-c1cc2oc(nc2cc1)C)-c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C.OC(C)C', 'c1c(ccc(c1)C(C(F)(F)F)(c1ccc(-c2oc3c(ccc(-c4cc5oc(nc5cc4)C)c3)n2)cc1)C(F)(F)F)C.CC(O)C']",82.0,24.24,23.5,15.0,25,1.0,0.0576,1569.666667
23,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,n-butanol,CCCCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO', 'FC(C(c1ccc(C)cc1)(c1ccc(-c2nc3ccc(cc3o2)-c2cc3c(cc2)nc(C)o3)cc1)C(F)(F)F)(F)F.C(CCC)O', 'c12ccc(cc1oc(n2)C)-c1ccc2nc(oc2c1)-c1ccc(cc1)C(c1ccc(cc1)C)(C(F)(F)F)C(F)(F)F.OCCCC', 'FC(C(c1ccc(cc1)-c1nc2ccc(cc2o1)-c1cc2c(cc1)nc(o2)C)(C(F)(F)F)c1ccc(C)cc1)(F)F.C(CO)CC', 'c1(cc2oc(nc2cc1)-c1ccc(cc1)C(C(F)(F)F)(c1ccc(C)cc1)C(F)(F)F)-c1ccc2c(c1)oc(n2)C.C(O)CCC', 'c1c(C)ccc(C(C(F)(F)F)(c2ccc(-c3nc4c(o3)cc(cc4)-c3cc4c(cc3)nc(o4)C)cc2)C(F)(F)F)c1.C(C)CCO']",82.0,24.24,23.1,10.0,80,1.0,0.0577,459.0
24,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,n-butanol,CCCCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO', 'FC(F)(C(c1ccc(-c2oc3c(n2)ccc(c3)-c2cc3c(cc2)nc(o3)C)cc1)(c1ccc(C)cc1)C(F)(F)F)F.C(CO)CC', 'o1c2c(ccc(-c3cc4c(cc3)nc(o4)-c3ccc(C(c4ccc(C)cc4)(C(F)(F)F)C(F)(F)F)cc3)c2)nc1C.C(CCC)O', 'c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)c1ccc(-c2oc3cc(-c4ccc5c(oc(C)n5)c4)ccc3n2)cc1)C.OCCCC', 'c1cc2c(cc1-c1ccc3c(c1)oc(C)n3)oc(n2)-c1ccc(C(c2ccc(C)cc2)(C(F)(F)F)C(F)(F)F)cc1.C(CC)CO', 'c1(-c2oc3c(ccc(-c4ccc5nc(oc5c4)C)c3)n2)ccc(cc1)C(C(F)(F)F)(c1ccc(C)cc1)C(F)(F)F.C(O)CCC']",82.0,24.24,23.1,10.0,60,1.0,0.0596,891.0
25,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ethanol,CCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO', 'FC(F)(F)C(c1ccc(C)cc1)(C(F)(F)F)c1ccc(cc1)-c1oc2c(n1)ccc(-c1cc3oc(C)nc3cc1)c2.C(C)O', 'FC(F)(F)C(c1ccc(C)cc1)(c1ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2oc(C)nc2cc1)C(F)(F)F.OCC']",82.0,24.24,26.5,15.0,25,1.0,0.0836,80.59259259
26,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ipa,CC(C)O,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O', 'c1c(-c2cc3oc(nc3cc2)C)ccc2c1oc(-c1ccc(C(c3ccc(cc3)C)(C(F)(F)F)C(F)(F)F)cc1)n2.CC(O)C', 'n1c(C)oc2cc(ccc21)-c1cc2oc(nc2cc1)-c1ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F.C(O)(C)C', 'c1cc(cc2c1nc(o2)C)-c1ccc2c(oc(n2)-c2ccc(C(C(F)(F)F)(C(F)(F)F)c3ccc(C)cc3)cc2)c1.C(C)(O)C', 'o1c2cc(-c3cc4oc(-c5ccc(C(C(F)(F)F)(c6ccc(cc6)C)C(F)(F)F)cc5)nc4cc3)ccc2nc1C.OC(C)C', 'FC(F)(F)C(c1ccc(cc1)C)(C(F)(F)F)c1ccc(-c2nc3c(o2)cc(cc3)-c2ccc3c(oc(C)n3)c2)cc1.C(C)(C)O']",82.0,24.24,23.5,10.0,60,1.0,0.0846,927.0
27,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ipa,CC(C)O,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O', 'FC(F)(F)C(c1ccc(cc1)C)(C(F)(F)F)c1ccc(-c2oc3cc(-c4cc5oc(C)nc5cc4)ccc3n2)cc1.OC(C)C', 'c1c(-c2cc3oc(nc3cc2)-c2ccc(C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc2oc(C)nc2c1.C(O)(C)C', 'c1(ccc2nc(C)oc2c1)-c1ccc2c(oc(n2)-c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)c1.CC(O)C', 'c12oc(-c3ccc(C(C(F)(F)F)(c4ccc(C)cc4)C(F)(F)F)cc3)nc2ccc(-c2cc3oc(C)nc3cc2)c1.C(C)(O)C', 'c1cc(C)ccc1C(C(F)(F)F)(c1ccc(-c2oc3c(n2)ccc(-c2cc4c(nc(o4)C)cc2)c3)cc1)C(F)(F)F.C(C)(C)O']",82.0,24.24,23.5,10.0,80,1.0,0.1346,199.0
28,pbo,FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F,ethanol,CCO,"['FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO', 'C(c1ccc(cc1)C)(C(F)(F)F)(c1ccc(cc1)-c1nc2ccc(-c3ccc4nc(oc4c3)C)cc2o1)C(F)(F)F.C(O)C', 'c1cc(ccc1C(C(F)(F)F)(c1ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2c(cc1)nc(C)o2)C(F)(F)F)C.OCC', 'c1(ccc(cc1)-c1nc2ccc(cc2o1)-c1cc2oc(C)nc2cc1)C(c1ccc(C)cc1)(C(F)(F)F)C(F)(F)F.C(C)O']",84.0,24.11,26.5,15.0,25,1.0,0.0801,68.26984127
