Dataset,num_of_folds,Features,Targets,Model,r_mean,r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,num_of_data,feature_length,Target,fold,r,r2,rmse,mae
PV_Wang,6,manual_frag_SMILES,J_Total_flux_kg_m_2h_1,NN,0.764574984,0.071737686,0.549011313,0.132524478,0.703170643,0.137298767,0.356391358,0.049958058,681,91,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_aug_SMILES,J_Total_flux_kg_m_2h_1,LSTM,0.832378753,0.07323209,0.54016548,0.404997647,0.64684716,0.16121322,0.263379548,0.044941231,1526,113,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_aug,J_Total_flux_kg_m_2h_1,LSTM,0.823580633,0.086103199,0.538081716,0.373409877,0.649936749,0.158453818,0.255986746,0.058063948,1526,123,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_SMILES,J_Total_flux_kg_m_2h_1,LSTM,0.79670012,0.086332947,0.537186823,0.21790216,0.69569502,0.17079131,0.289297668,0.043805453,681,113,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag,J_Total_flux_kg_m_2h_1,LSTM,0.829515075,0.066005761,0.534927086,0.399855078,0.653672311,0.159857343,0.276202861,0.047515842,681,123,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,SMILES,J_Total_flux_kg_m_2h_1,NN,0.682772805,0.091233319,0.474502222,0.121669389,0.811033945,0.126543004,0.435274683,0.057224173,681,107,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_recombined_aug_SMILES,J_Total_flux_kg_m_2h_1,LSTM,0.772336566,0.064632868,0.465801521,0.298666333,0.741278147,0.145618445,0.294722863,0.044187287,922,117,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag,J_Total_flux_kg_m_2h_1,NN,0.656845047,0.10735341,0.442970171,0.140204255,0.833547554,0.136317011,0.458595002,0.055080082,681,16,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,BigSMILES,J_Total_flux_kg_m_2h_1,NN,0.651908111,0.102306814,0.435450869,0.133136337,0.843488677,0.135199075,0.456450411,0.051042604,681,114,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,SMILES,J_Total_flux_kg_m_2h_1,LSTM,0.784714894,0.063844191,0.429114189,0.31500015,0.748467892,0.132072025,0.30251122,0.036184484,681,116,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,fingerprint,J_Total_flux_kg_m_2h_1,SVM,0.639750673,0.092461319,0.41783002,0.113533296,0.92856927,0.158686993,0.676616323,0.04599338,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,fingerprint,J_Total_flux_kg_m_2h_1,LSTM,0.785161632,0.069199891,0.412588948,0.476947757,0.73878731,0.151808486,0.310007412,0.045993933,681,93,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_aug,J_Total_flux_kg_m_2h_1,SVM,0.564840325,0.102349362,0.329519984,0.113330898,0.987806593,0.206553039,0.703897242,0.102689465,1526,16,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag,J_Total_flux_kg_m_2h_1,SVM,0.553716331,0.068814261,0.311337178,0.07868484,0.975518163,0.224795721,0.683249938,0.139074804,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,SMILES,J_Total_flux_kg_m_2h_1,SVM,0.521090299,0.131724725,0.288886503,0.14231983,1.009637298,0.168108975,0.774716882,0.073610084,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_recombined_aug_fingerprint,J_Total_flux_kg_m_2h_1,SVM,0.661868471,0.087184489,0.273566025,0.104463236,0.906439604,0.16810843,0.666173899,0.083849768,922,518,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,BigSMILES,J_Total_flux_kg_m_2h_1,SVM,0.475688517,0.091824114,0.234711233,0.090406841,0.990405338,0.186329363,0.719552821,0.084522961,681,,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,Augmented_SMILES,J_Total_flux_kg_m_2h_1,SVM,0.456700098,0.087800544,0.216283915,0.080501864,1.034615926,0.200175654,0.754179665,0.084964124,2738,110,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_aug_SMILES,J_Total_flux_kg_m_2h_1,SVM,0.420267924,0.06581112,0.097859215,0.078460178,1.014356995,0.198871198,0.745912598,0.073064327,1526,91,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_recombined_aug_SMILES,J_Total_flux_kg_m_2h_1,SVM,0.442388994,0.075745879,0.086713735,0.098002652,1.015595204,0.177126361,0.756273129,0.075382154,922,105,J_Total_flux_kg_m_2h_1,,,,,
PV_Wang,6,manual_frag_SMILES,J_Total_flux_kg_m_2h_1,SVM,0.374817897,0.12436175,0.065117059,0.123933966,1.028350525,0.185960925,0.736881562,0.074326541,681,91,J_Total_flux_kg_m_2h_1,,,,,
