Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
37,p84,82.3,28,ipa,23.5,15,100,5,0.0699,864.942529,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
38,p84,82.3,10,ipa,23.5,15,60,5,0.0631,2916.666667,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
39,p84,82.3,10,ipa,23.5,15,80,5,0.1159,1790.229885,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
40,p84,82.3,10,ipa,23.5,15,100,5,0.2182,1488.505747,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
41,p84,82.3,20.5,ipa,23.5,15,60,1,0.0496,5265.366081,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
42,p84,82.3,20.5,ipa,23.5,15,70,1,0.0695,5265.366081,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
43,p84,82.3,20.5,ipa,23.5,15,80,1,0.1072,5265.366081,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
44,p84,82.3,20.5,ipa,23.5,15,90,1,0.1728,5265.366081,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
45,pva,74,22,ipa,23.5,10,25,1.3,0.0293,4.930693,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,pva,74,22,ipa,23.5,5,25,1.3,0.0299,5.108911,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,pva,74,22,ipa,23.5,15,25,1.3,0.0304,5.643564,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,pva,74,22,ipa,23.5,20,25,1.3,0.0561,8.19802,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,pva,74,22,ipa,23.5,25,25,1.3,0.0967,11.049505,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,pva,74,22,ipa,23.5,25,75,1.3,0.495,12.33663366,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
