Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Polymer_SMILES,Solvent_SMILES,Sum_of_frags,Polymer_SELFIES,Solvent_SELFIES,Polymer_BigSMILES,PS_SMILES,PS_SELFIES,PS_BigSMILES
174,alginate,37.37,50.0,ipa,23.5,20.0,50,13.3,0.157,93.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
175,alginate,37.37,50.0,ipa,23.5,50.0,30,13.3,0.177,25.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
178,alginate,37.37,50.0,ethanol,26.5,10.0,40,0.06,0.0531,17.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CCO,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CCO,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CCO
179,alginate,37.37,50.0,ipa,23.5,10.0,30,0.06,0.0646,678.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
180,alginate,37.37,50.0,ethanol,26.5,10.0,50,0.06,0.0675,13.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CCO,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CCO,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CCO
182,alginate,37.37,50.0,ipa,23.5,10.0,50,0.06,0.0849,278.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
183,alginate,37.37,50.0,ipa,23.5,10.0,40,0.06,0.0906,328.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
184,alginate,37.37,50.0,ipa,23.5,10.0,60,0.06,0.145,148.0,O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]),CC(C)O,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]},O=C(O)C1OC(C[*])C(O)C(O)C1O(C[*]).CC(C)O,[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[O][=C][Branch1_1][C][O][C][O][C][Branch1_1][C][C][C][Branch1_1][C][O][C][Branch1_1][C][O][C][Ring1][Branch2_2][O][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O=C(O)C1CC(O)C(O)CO1[>][<]}{[>][<]O[>][<]}{[>][<]*C[>][]}.CC(C)O
185,chitosan,55.1,40.0,ipa,23.5,5.0,30,13.3,0.032,422.0,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
186,chitosan,55.1,40.0,ipa,23.5,10.0,30,13.3,0.0478,171.0,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
187,chitosan,55.1,40.0,ipa,23.5,15.0,30,13.3,0.0649,66.115702,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
188,chitosan,55.1,40.0,ipa,23.5,20.0,30,13.3,0.0808,41.322314,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
189,chitosan,55.1,40.0,ipa,23.5,10.0,40,13.3,0.0863,104.8,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
190,chitosan,55.1,40.0,ipa,23.5,25.0,30,13.3,0.1043,24.793388,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
192,chitosan,55.1,40.0,ipa,23.5,10.0,50,13.3,0.141,72.9,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
193,chitosan,55.1,40.0,ipa,23.5,5.0,30,13.3,0.0285,1469.849246,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
194,chitosan,55.1,40.0,ipa,23.5,10.0,30,13.3,0.0314,540.201005,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
195,chitosan,55.1,40.0,ipa,23.5,15.0,30,13.3,0.0537,175.879397,NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]),CC(C)O,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]",[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C],[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]},NC2C(O)C(OC1OC(CO)C(O(C[*]))C(O)C1N)C(CO)OC2(C[*]).CC(C)O,[N][C][C][Branch1_1][C][O][C][Branch2_1][Ring1][Branch2_1][O][C][O][C][Branch1_1][Ring1][C][O][C][Branch1_1][Branch1_1][O][Branch1_1][C][C][C][Branch1_1][C][O][C][Ring1][O][N][C][Branch1_1][Ring1][C][O][O][C][Ring2][Ring1][Branch1_2][Branch1_1][C][C].[C][C][Branch1_1][C][C][O],{[][<]*C[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]O[>][<]}{[>][<]NC1COC(CO)CC1O[>][<]}{[>][<]*C[>][]}.CC(C)O
