folds,r,r2,mae,rmse
0,-0.05794647740702241,-0.34207382419819665,8.06529759738157,14.303791423199424
1,0.7721470399566391,0.5564150627946343,3.1822293478569317,4.090992625039934
2,0.38779673118091873,-0.03093005127580195,7.485628140271359,10.328529843371662
3,0.6148441616809822,0.21359459319240115,4.409519124685159,5.870427482711463
4,0.7986465302536738,0.5768327797223176,3.075468552298459,4.211494192025568
5,0.7749303630653231,-0.07579093575376339,4.816843748640002,6.79499221354376
6,0.8166338479187489,0.5972860324556184,3.1760507982519726,4.454217223786803
