Polymer,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test
PBS,323.15,1.025,0.00984,0.00987,train
PBS,323.15,2.209,0.02063,0.02061,train
PBS,323.15,3.068,0.02826,0.02828,train
PBS,323.15,4.245,0.03879,0.03877,train
PBS,323.15,6.272,0.05681,0.05677,train
PBS,323.15,8.008,0.07300,0.07301,train
PBS,323.15,10.129,0.10760,0.10754,train
PBS,353.15,1.148,0.00876,0.00872,train
PBS,353.15,2.103,0.01523,0.01524,train
PBS,353.15,3.158,0.02243,0.02237,train
PBS,353.15,4.218,0.02961,0.02964,train
PBS,353.15,6.169,0.04332,0.04339,train
PBS,353.15,8.05,0.05601,0.05597,train
PBS,393.15,4.141,0.03776,0.03776,train
PBS,393.15,8.076,0.07357,0.07352,train
PBS,393.15,8.928,0.08130,0.08138,train
PBS,393.15,12.076,0.10980,0.10978,train
PBS,393.15,12.606,0.11460,0.11457,train
PBS,393.15,16.544,0.14810,0.14815,train
PBS,393.15,19.987,0.17610,0.17605,train
PBS,423.15,2.221,0.01501,0.01509,train
PBS,423.15,2.935,0.01993,0.01994,train
PBS,423.15,4.705,0.03216,0.03214,train
PBS,423.15,6.035,0.04145,0.04139,train
PBS,423.15,6.572,0.04529,0.04532,train
PBS,423.15,8.242,0.05710,0.05713,train
PBS,423.15,8.696,0.06041,0.06036,train
PBS,423.15,12.036,0.08309,0.08320,train
PBS,423.15,12.572,0.08733,0.08725,train
PBS,423.15,16.038,0.11070,0.11067,train
PBS,423.15,16.541,0.11390,0.11388,train
PBS,423.15,20.095,0.13550,0.13556,train
PBS,453.15,2.133,0.01192,0.01188,train
PBS,453.15,2.798,0.01566,0.01570,train
PBS,453.15,4.627,0.02604,0.02609,train
PBS,453.15,6.626,0.03736,0.03730,train
PBS,453.15,8.037,0.04534,0.04540,train
PBS,453.15,8.57,0.04840,0.04844,train
PBS,453.15,12.007,0.06830,0.06821,train
PBS,453.15,12.592,0.07153,0.07161,train
PBS,453.15,16.071,0.09082,0.09090,train
PBS,453.15,16.574,0.09367,0.09363,train
PBS,453.15,20.144,0.11260,0.11255,train
PBSA,323.15,1.098,0.01259,0.01259,train
PBSA,323.15,2.097,0.02418,0.02416,train
PBSA,323.15,3.065,0.03559,0.0356,train
PBSA,323.15,4.053,0.04749,0.04749,train
PBSA,323.15,7.87,0.1036,0.10359,train
PBSA,393.15,2.082,0.01839,0.01839,train
PBSA,393.15,2.581,0.02285,0.02286,train
PBSA,393.15,4.028,0.03591,0.0359,train
PBSA,393.15,4.61,0.04122,0.04122,train
PBSA,393.15,6.2,0.05578,0.05579,train
PBSA,393.15,6.681,0.0602,0.06019,train
PBSA,393.15,11.997,0.1084,0.1084,train
PBSA,393.15,12.46,0.1127,0.11271,train
PBSA,393.15,16.024,0.1423,0.14233,train
PBSA,393.15,16.548,0.1467,0.14668,train
PBSA,393.15,20.036,0.1741,0.17409,train
PBSA,423.15,2.102,0.01451,0.01452,train
PBSA,423.15,2.676,0.01851,0.0185,train
PBSA,423.15,4.118,0.02863,0.02863,train
PBSA,423.15,4.684,0.03263,0.03264,train
PBSA,423.15,6.098,0.04264,0.04262,train
PBSA,423.15,6.7,0.04692,0.04693,train
PBSA,423.15,8.177,0.05749,0.0575,train
PBSA,423.15,8.699,0.06117,0.06118,train
PBSA,423.15,12.314,0.08649,0.08649,train
PBSA,423.15,16.027,0.1115,0.11146,train
PBSA,423.15,16.572,0.115,0.11502,train
PBSA,453.15,4.126,0.02357,0.02359,train
PBSA,453.15,4.698,0.02689,0.02689,train
PBSA,453.15,6.07,0.03485,0.03485,train
PBSA,453.15,8.259,0.04763,0.04761,train
PBSA,453.15,8.973,0.0515,0.05149,train
PBSA,453.15,12.009,0.0692,0.06922,train
PBSA,453.15,12.766,0.07349,0.07349,train
HDPE,453.15,20.127,0.11360,0.11361,train
HDPE,433.2,11.066,0.07470,0.07469,train
HDPE,433.2,13.644,0.09750,0.09751,train
HDPE,433.2,15.286,0.11420,0.11419,train
HDPE,433.2,17.453,0.13200,0.13199,train
HDPE,453.2,11.326,0.06710,0.06710,train
HDPE,453.2,14.013,0.08900,0.08899,train
