Name,SMILES,Fragments,Polymer_BigSMILES,Augmented Recombined Fragment SMILES
PTMSP,C/C(*)=C(*)/[Si](C)(C)C,[''],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},['C/C(C)=C(C)\[Si](C)(C)C']
PDMS,*O[Si](*)(C)C,[''],{[][<]C[Si](C)C[>][<]}{[>][<]CO[>][]},['C[Si](C)(C)OC']
PEBAX,O=C(CCCCCCCCCCCN[*])OCCCC[*],[''],,"['O=C(OCCCCCOC)CCCCCCCCCCCNC(C)=O','CNCCCCCCCCCCCC(OCCCCCOC(C)=O)=O','CCCCCCCCCCCCC(OCCCCCOC(NC)=O)=O','CC(OCCCCCOC(NCCCCCCCCCCCC)=O)=O','COCCCCCOC(NCCCCCCCCCCCC(C)=O)=O','CCCCCCOC(NCCCCCCCCCCCC(OC)=O)=O','COC(NCCCCCCCCCCCC(OCCCCCC)=O)=O']"
PAN,[*]CC(C#N)(*),[''],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},['CCC(C)C#N']
PES,[*]Oc2ccc(S(=O)(=O)c1ccc(*)cc1)cc2,[''],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},"['COc1ccc(S(=O)(c2ccc(C)cc2)=O)cc1','CS(=O)(c1ccc(Oc2ccc(C)cc2)cc1)=O']"
PSf,[*]Oc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(*)cc1)cc2)cc3)cc4,[''],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},"['COc1ccc(S(=O)(c2ccc(Oc3ccc(C(C)(c4ccc(C)cc4)C)cc3)cc2)=O)cc1','O=S(c1ccc(Oc2ccc(C)cc2)cc1)(c3ccc(Oc4ccc(C(C)(C)C)cc4)cc3)=O','O=S(c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(C)cc4)cc3)cc2)cc1)(C)=O','O=S(c1ccc(Oc2ccc(C(C)(C)c3ccc(OC)cc3)cc2)cc1)(c4ccc(C)cc4)=O']"
P84,Cc1cc(c7ccc(Cc6ccc([*])cc6)cc7)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n([*])c(=O)c2c3)cc4c5=O,[''],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},"['Cc1ccc(Cc2ccc(c3cc(C)c(n(c(=O)c4c5cc(C(c(cc6)cc7c6c(=O)n(C)c7=O)=O)cc4)c5=O)cc3)cc2)cc1','O=c(n1c2c(C)cc(c3ccc(Cc4ccc(n5c(=O)c6cc(C)ccc6c5=O)cc4)cc3)cc2)c(ccc(C(C)=O)c7)c7c1=O','O=c(n1c2c(C)cc(c3ccc(Cc4ccc(n5c(=O)c6cc(C(C)=O)ccc6c5=O)cc4)cc3)cc2)c(ccc(C)c7)c7c1=O','Cc1c(C)cc(c2ccc(Cc3ccc(n4c(=O)c5cc(C(c6cc7c(n(C)c(=O)c7cc6)=O)=O)ccc5c4=O)cc3)cc2)cc1','Cc1ccc(Cc2ccc(n3c(=O)c4cc(C(c5cc6c(n(c7c(C)cc(C)cc7)c(=O)c6cc5)=O)=O)ccc4c3=O)cc2)cc1','CCc1ccc(n2c(=O)c3cc(C(c4cc5c(n(c6c(C)cc(c7ccc(C)cc7)cc6)c(=O)c5cc4)=O)=O)ccc3c2=O)cc1','Cc1ccc(n2c(=O)c3cc(C(c4cc5c(n(c6c(C)cc(c7ccc(CC)cc7)cc6)c(=O)c5cc4)=O)=O)ccc3c2=O)cc1']"
Matrimid,CC7(C)CC(C)(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3c4=O)cc5)c6cc([*])ccc67,[''],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},"['CC7(C)CC(C)(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)cc5)c6cc(C)ccc67', 'CC1(n2c(=O)c3cc(C)ccc3c2=O)CC(c4ccc(n(c(=O)c5c6cc(C(C)=O)cc5)c6=O)cc4)(c7c1ccc(C)c7)C', 'CC1(n2c(=O)c3cc(C(C)=O)ccc3c2=O)CC(c4ccc(n(c(=O)c5c6cc(C)cc5)c6=O)cc4)(c7c1ccc(C)c7)C', 'CC1(n2c(=O)c3cc(C(c4cc5c(n(C)c(=O)c5cc4)=O)=O)ccc3c2=O)CC(c6ccc(C)cc6)(c7c1ccc(C)c7)C', 'CC1(n2c(=O)c3cc(C(c4cc5c(n(c6ccc(C)cc6)c(=O)c5cc4)=O)=O)ccc3c2=O)CC(C)(c7c1ccc(C)c7)C']"
PEI,[*]c7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,[''],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},"['Cc1cc(n(c(=O)c2c3cc(Oc4ccc(C(C)(c5ccc(Oc(cc6)cc7c6c(=O)n(C)c7=O)cc5)C)cc4)cc2)c3=O)ccc1','O=c(n1c2cc(n3c(=O)c4cc(C)ccc4c3=O)ccc2)c(ccc(Oc5ccc(C(C)(c6ccc(OC)cc6)C)cc5)c7)c7c1=O','O=c(n1c2cc(n3c(=O)c4cc(OC)ccc4c3=O)ccc2)c(ccc(Oc5ccc(C(C)(c6ccc(C)cc6)C)cc5)c7)c7c1=O','O=c(n1c2cc(n3c(=O)c4cc(Oc5ccc(C)cc5)ccc4c3=O)ccc2)c(ccc(Oc6ccc(C(C)(C)C)cc6)c7)c7c1=O']"
Hexane,CCCCCC,,CCCCCC,
Toluene,c1ccccc1C,,c1ccccc1C,
EA,CCOC(=O)C,,CCOC(=O)C,
MEK,CCC(=O)C,,CCC(=O)C,
Acetone,CC(=O)C,,CC(=O)C,
IPA,CC(C)O,,CC(C)O,
Ethanol,CCO,,CCO,
Methanol,CO,,CO,
Water,O,,O,
