Polymer,Polymer_SMILES,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test,Augmented_SMILES
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,0.56,0.0033,0.00338,train,"['OC(=O)c1cc(C(=O)O)ccc1.c1(ccc(cc1)C(=O)O)C(=O)O.O=C(O)CCCCC(O)=O.CC(CO)(C)CO.C(C)C(CO)(CO)CO', 'C(c1cccc(c1)C(O)=O)(=O)O.C(O)(=O)c1ccc(cc1)C(=O)O.O=C(CCCCC(=O)O)O.C(C(C)(C)CO)O.OCC(CC)(CO)CO', 'c1c(cc(cc1)C(=O)O)C(=O)O.c1cc(C(=O)O)ccc1C(O)=O.C(C(O)=O)CCCC(O)=O.CC(CO)(CO)C.OCC(CO)(CC)CO', 'C(=O)(O)c1cc(ccc1)C(=O)O.C(O)(=O)c1ccc(C(O)=O)cc1.OC(CCCCC(=O)O)=O.CC(C)(CO)CO.C(O)C(CO)(CC)CO', 'c1ccc(C(O)=O)cc1C(=O)O.c1c(ccc(c1)C(=O)O)C(=O)O.O=C(O)CCCCC(O)=O.OCC(C)(CO)C.OCC(CO)(CC)CO']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,2.02,0.0165,0.01653,train,"['C(c1cc(C(O)=O)ccc1)(=O)O.c1cc(C(=O)O)ccc1C(=O)O.OC(=O)CCCCC(O)=O.C(C(C)(CO)C)O.C(CO)(CO)(CO)CC', 'c1(C(O)=O)cccc(C(O)=O)c1.OC(=O)c1ccc(C(O)=O)cc1.C(C(O)=O)CCCC(=O)O.CC(CO)(C)CO.OCC(CO)(CO)CC', 'c1cc(cc(C(O)=O)c1)C(=O)O.C(c1ccc(cc1)C(O)=O)(O)=O.C(CCCCC(O)=O)(O)=O.CC(CO)(CO)C.C(CO)(CO)(CC)CO', 'O=C(c1cccc(C(=O)O)c1)O.OC(=O)c1ccc(cc1)C(=O)O.C(O)(=O)CCCCC(=O)O.CC(CO)(CO)C.OCC(CC)(CO)CO', 'OC(=O)c1cccc(C(O)=O)c1.c1(C(O)=O)ccc(C(O)=O)cc1.C(CCCC(=O)O)C(=O)O.C(C(C)(C)CO)O.C(O)C(CO)(CO)CC']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,3.98,0.0361,0.03619,train,"['c1(C(O)=O)cc(C(=O)O)ccc1.c1cc(C(=O)O)ccc1C(O)=O.C(CCCC(O)=O)C(O)=O.OCC(C)(C)CO.C(C(CO)(CC)CO)O', 'c1c(cccc1C(O)=O)C(=O)O.c1(ccc(C(O)=O)cc1)C(=O)O.C(CC(=O)O)CCC(O)=O.C(C)(C)(CO)CO.OCC(CC)(CO)CO', 'O=C(c1cc(C(O)=O)ccc1)O.c1(ccc(cc1)C(O)=O)C(=O)O.OC(=O)CCCCC(=O)O.OCC(CO)(C)C.OCC(CC)(CO)CO', 'C(O)(c1cc(C(O)=O)ccc1)=O.c1(C(O)=O)ccc(cc1)C(O)=O.C(C(=O)O)CCCC(=O)O.C(C(C)(CO)C)O.C(C(CO)(CC)CO)O', 'c1ccc(cc1C(=O)O)C(=O)O.c1c(C(O)=O)ccc(c1)C(O)=O.C(C(=O)O)CCCC(O)=O.C(CO)(C)(CO)C.OCC(CO)(CC)CO']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,5.09,0.0475,0.04735,train,"['O=C(O)c1cccc(C(O)=O)c1.C(O)(=O)c1ccc(cc1)C(=O)O.O=C(O)CCCCC(O)=O.C(O)C(CO)(C)C.C(C(CO)(CO)CO)C', 'C(=O)(O)c1cccc(C(O)=O)c1.c1(C(=O)O)ccc(cc1)C(O)=O.OC(=O)CCCCC(=O)O.C(CO)(C)(CO)C.C(CC)(CO)(CO)CO', 'c1cc(C(O)=O)cc(c1)C(=O)O.O=C(c1ccc(cc1)C(O)=O)O.C(CCC(O)=O)CC(=O)O.CC(CO)(C)CO.C(C(CC)(CO)CO)O', 'c1c(C(=O)O)cccc1C(O)=O.C(=O)(c1ccc(cc1)C(=O)O)O.C(CCCC(=O)O)C(O)=O.CC(CO)(C)CO.OCC(CC)(CO)CO', 'C(O)(c1cccc(C(O)=O)c1)=O.c1cc(C(=O)O)ccc1C(O)=O.C(CCC(O)=O)CC(=O)O.OCC(CO)(C)C.C(CO)(CO)(CC)CO']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,10.33,0.1421,0.1421,train,"['C(c1cccc(C(=O)O)c1)(=O)O.O=C(c1ccc(cc1)C(O)=O)O.C(CCCCC(=O)O)(=O)O.OCC(C)(C)CO.OCC(CO)(CC)CO', 'OC(c1cccc(c1)C(O)=O)=O.OC(c1ccc(C(O)=O)cc1)=O.O=C(CCCCC(=O)O)O.CC(CO)(CO)C.OCC(CO)(CC)CO', 'c1(C(O)=O)cc(ccc1)C(=O)O.O=C(O)c1ccc(C(=O)O)cc1.OC(=O)CCCCC(O)=O.CC(C)(CO)CO.C(C(CO)(CC)CO)O', 'c1ccc(C(=O)O)cc1C(O)=O.c1(C(=O)O)ccc(C(O)=O)cc1.C(CCC(=O)O)CC(=O)O.C(C(CO)(C)C)O.C(O)C(CO)(CO)CC', 'C(c1cc(C(O)=O)ccc1)(O)=O.O=C(O)c1ccc(cc1)C(O)=O.C(C(=O)O)CCCC(O)=O.C(C(CO)(C)C)O.C(C(CO)(CC)CO)O']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,12.07,0.1626,0.16269,train,"['C(=O)(O)c1cccc(C(O)=O)c1.c1(ccc(cc1)C(O)=O)C(=O)O.C(CCCC(O)=O)C(O)=O.C(O)C(CO)(C)C.C(C(CO)(CO)CC)O', 'C(c1cc(C(O)=O)ccc1)(O)=O.c1cc(C(O)=O)ccc1C(O)=O.C(C(O)=O)CCCC(=O)O.CC(C)(CO)CO.C(C)C(CO)(CO)CO', 'c1ccc(C(=O)O)cc1C(O)=O.OC(=O)c1ccc(C(=O)O)cc1.C(CC(=O)O)CCC(O)=O.C(O)C(CO)(C)C.C(C(CO)(CO)CC)O', 'OC(c1cccc(c1)C(=O)O)=O.c1c(ccc(c1)C(O)=O)C(=O)O.O=C(O)CCCCC(O)=O.C(C)(CO)(CO)C.C(O)C(CO)(CC)CO', 'c1cc(C(O)=O)cc(C(=O)O)c1.O=C(c1ccc(C(=O)O)cc1)O.C(O)(=O)CCCCC(=O)O.OCC(C)(CO)C.CCC(CO)(CO)CO']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,18.1,0.314,0.3141,train,"['O=C(c1cc(C(O)=O)ccc1)O.O=C(O)c1ccc(cc1)C(O)=O.C(=O)(O)CCCCC(O)=O.C(CO)(C)(CO)C.C(C(CC)(CO)CO)O', 'c1(C(O)=O)cccc(c1)C(=O)O.c1cc(ccc1C(O)=O)C(O)=O.O=C(CCCCC(=O)O)O.C(O)C(CO)(C)C.C(CO)(CO)(CC)CO', 'OC(c1cc(C(O)=O)ccc1)=O.c1(ccc(cc1)C(=O)O)C(O)=O.C(CCC(O)=O)CC(=O)O.CC(CO)(C)CO.C(CO)(CC)(CO)CO', 'c1c(C(O)=O)cccc1C(O)=O.OC(c1ccc(cc1)C(=O)O)=O.C(CCCCC(=O)O)(=O)O.OCC(CO)(C)C.OCC(CC)(CO)CO', 'c1c(cccc1C(O)=O)C(O)=O.c1(C(O)=O)ccc(C(=O)O)cc1.C(CCCCC(=O)O)(O)=O.OCC(C)(C)CO.C(CO)(CO)(CO)CC']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,23.31,0.4154,0.41526,train,"['O=C(O)c1cc(ccc1)C(=O)O.c1(ccc(cc1)C(=O)O)C(O)=O.C(CCCC(O)=O)C(=O)O.CC(CO)(CO)C.C(C(CC)(CO)CO)O', 'OC(=O)c1cc(C(=O)O)ccc1.c1cc(C(O)=O)ccc1C(O)=O.C(CCC(O)=O)CC(O)=O.C(C(C)(C)CO)O.OCC(CO)(CO)CC', 'c1cc(cc(C(O)=O)c1)C(=O)O.c1c(ccc(c1)C(O)=O)C(O)=O.C(CCC(O)=O)CC(=O)O.C(O)C(CO)(C)C.C(O)C(CO)(CC)CO', 'c1c(cccc1C(O)=O)C(=O)O.c1cc(C(=O)O)ccc1C(=O)O.C(CCCCC(O)=O)(=O)O.CC(CO)(C)CO.C(O)C(CO)(CO)CC', 'c1c(cc(C(O)=O)cc1)C(O)=O.c1cc(C(O)=O)ccc1C(O)=O.C(C(=O)O)CCCC(O)=O.OCC(CO)(C)C.C(CO)(CO)(CO)CC']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,28.13,0.4671,0.46712,train,"['c1c(C(=O)O)cccc1C(O)=O.c1c(C(O)=O)ccc(C(O)=O)c1.C(=O)(O)CCCCC(=O)O.C(C(CO)(C)C)O.C(C(CO)(CO)CO)C', 'O=C(c1cccc(C(O)=O)c1)O.O=C(O)c1ccc(C(O)=O)cc1.O=C(O)CCCCC(=O)O.OCC(CO)(C)C.CCC(CO)(CO)CO', 'c1(C(O)=O)cc(ccc1)C(=O)O.C(O)(=O)c1ccc(C(=O)O)cc1.C(CCCCC(O)=O)(O)=O.C(CO)(C)(CO)C.C(C(CC)(CO)CO)O', 'O=C(O)c1cc(ccc1)C(O)=O.c1(ccc(cc1)C(=O)O)C(=O)O.O=C(CCCCC(=O)O)O.C(O)C(C)(CO)C.OCC(CO)(CC)CO', 'c1ccc(C(O)=O)cc1C(=O)O.O=C(c1ccc(C(O)=O)cc1)O.C(CCCCC(O)=O)(=O)O.C(O)C(C)(C)CO.C(C(CC)(CO)CO)O']"
CPE60,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO.CCC(CO)(CO)CO,344.0,29.91,0.4833,0.48324,train,"['c1c(cccc1C(=O)O)C(=O)O.c1c(ccc(c1)C(=O)O)C(=O)O.C(C(=O)O)CCCC(O)=O.C(O)C(C)(CO)C.OCC(CC)(CO)CO', 'O=C(c1cc(C(O)=O)ccc1)O.c1cc(ccc1C(=O)O)C(O)=O.C(CCCCC(=O)O)(=O)O.CC(CO)(CO)C.OCC(CO)(CC)CO', 'C(=O)(O)c1cc(ccc1)C(O)=O.c1c(C(=O)O)ccc(C(=O)O)c1.C(CC(=O)O)CCC(=O)O.C(C(C)(CO)C)O.OCC(CO)(CO)CC', 'OC(=O)c1cccc(C(=O)O)c1.c1cc(C(=O)O)ccc1C(=O)O.C(C(O)=O)CCCC(O)=O.C(C(C)(C)CO)O.C(O)C(CO)(CO)CC', 'c1(C(=O)O)cc(ccc1)C(=O)O.OC(c1ccc(C(O)=O)cc1)=O.C(CC(=O)O)CCC(O)=O.C(C)(C)(CO)CO.OCC(CO)(CC)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,0.99,0.0105,0.0105,train,"['OC(=O)c1cccc(C(=O)O)c1.c1(C(O)=O)ccc(C(O)=O)cc1.OC(CCCCC(O)=O)=O.OCCO.C(O)C(C)(CO)C.C(O)C(CC)(CO)CO', 'C(=O)(O)c1cc(ccc1)C(O)=O.c1(C(O)=O)ccc(cc1)C(O)=O.OC(CCCCC(=O)O)=O.C(CO)O.CC(CO)(CO)C.C(O)C(CO)(CC)CO', 'c1c(C(O)=O)cccc1C(O)=O.c1c(ccc(C(=O)O)c1)C(=O)O.OC(CCCCC(O)=O)=O.OCCO.C(C(C)(CO)C)O.OCC(CO)(CC)CO', 'c1c(cccc1C(=O)O)C(=O)O.C(=O)(O)c1ccc(cc1)C(=O)O.O=C(CCCCC(=O)O)O.C(O)CO.C(C(C)(C)CO)O.C(C(CO)(CC)CO)O', 'C(=O)(c1cccc(c1)C(=O)O)O.C(=O)(c1ccc(C(=O)O)cc1)O.O=C(CCCCC(O)=O)O.OCCO.C(CO)(C)(CO)C.OCC(CC)(CO)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,2.19,0.0303,0.0303,train,"['OC(=O)c1cccc(c1)C(=O)O.O=C(c1ccc(cc1)C(=O)O)O.C(C(=O)O)CCCC(O)=O.OCCO.CC(CO)(C)CO.CCC(CO)(CO)CO', 'OC(c1cccc(C(O)=O)c1)=O.C(=O)(O)c1ccc(C(O)=O)cc1.C(O)(=O)CCCCC(=O)O.C(CO)O.C(O)C(C)(CO)C.OCC(CC)(CO)CO', 'C(=O)(c1cc(ccc1)C(=O)O)O.OC(c1ccc(cc1)C(O)=O)=O.C(CCC(O)=O)CC(=O)O.C(CO)O.CC(CO)(CO)C.C(CO)(CO)(CC)CO', 'c1c(C(O)=O)cccc1C(=O)O.c1(ccc(cc1)C(=O)O)C(O)=O.C(=O)(O)CCCCC(=O)O.OCCO.OCC(CO)(C)C.CCC(CO)(CO)CO', 'C(c1cccc(c1)C(O)=O)(=O)O.C(O)(=O)c1ccc(C(O)=O)cc1.C(C(O)=O)CCCC(=O)O.C(O)CO.CC(CO)(CO)C.OCC(CO)(CO)CC']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,4.1,0.0416,0.0416,train,"['OC(c1cccc(c1)C(O)=O)=O.c1c(C(O)=O)ccc(c1)C(=O)O.C(CCCCC(O)=O)(O)=O.OCCO.C(O)C(C)(CO)C.C(C(CO)(CO)CC)O', 'OC(c1cc(ccc1)C(=O)O)=O.C(O)(c1ccc(C(O)=O)cc1)=O.C(C(=O)O)CCCC(=O)O.C(CO)O.OCC(C)(C)CO.C(CO)(CO)(CC)CO', 'c1c(cc(C(O)=O)cc1)C(=O)O.c1c(C(=O)O)ccc(c1)C(O)=O.O=C(CCCCC(O)=O)O.OCCO.C(O)C(C)(C)CO.CCC(CO)(CO)CO', 'C(=O)(O)c1cccc(C(=O)O)c1.c1c(C(O)=O)ccc(C(O)=O)c1.O=C(CCCCC(O)=O)O.C(O)CO.C(O)C(C)(C)CO.C(CC)(CO)(CO)CO', 'O=C(c1cc(C(O)=O)ccc1)O.c1c(C(O)=O)ccc(c1)C(=O)O.C(C(O)=O)CCCC(=O)O.C(O)CO.OCC(C)(C)CO.OCC(CC)(CO)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,12.42,0.2278,0.2278,train,"['OC(=O)c1cc(C(O)=O)ccc1.c1cc(C(=O)O)ccc1C(=O)O.OC(CCCCC(=O)O)=O.C(O)CO.OCC(C)(CO)C.C(O)C(CO)(CC)CO', 'c1(C(O)=O)cccc(C(=O)O)c1.c1c(ccc(c1)C(O)=O)C(=O)O.OC(CCCCC(O)=O)=O.OCCO.CC(CO)(C)CO.CCC(CO)(CO)CO', 'c1cc(C(=O)O)cc(c1)C(=O)O.OC(=O)c1ccc(C(O)=O)cc1.O=C(O)CCCCC(=O)O.OCCO.C(O)C(C)(C)CO.OCC(CC)(CO)CO', 'c1c(C(=O)O)cc(C(O)=O)cc1.c1(ccc(cc1)C(=O)O)C(O)=O.C(CCCCC(=O)O)(O)=O.OCCO.C(C(C)(CO)C)O.OCC(CO)(CC)CO', 'C(O)(c1cccc(C(O)=O)c1)=O.c1cc(C(=O)O)ccc1C(O)=O.C(CCC(O)=O)CC(=O)O.OCCO.C(C)(CO)(C)CO.C(C)C(CO)(CO)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,18.01,0.359,0.359,train,"['O=C(c1cc(ccc1)C(O)=O)O.c1c(C(=O)O)ccc(C(=O)O)c1.O=C(O)CCCCC(=O)O.OCCO.CC(CO)(C)CO.C(C(CO)(CO)CO)C', 'c1(cc(ccc1)C(O)=O)C(=O)O.c1cc(ccc1C(O)=O)C(O)=O.O=C(O)CCCCC(=O)O.OCCO.C(CO)(CO)(C)C.C(C(CC)(CO)CO)O', 'c1c(cc(cc1)C(O)=O)C(O)=O.c1cc(C(=O)O)ccc1C(=O)O.C(CCCC(O)=O)C(=O)O.C(CO)O.C(C(C)(C)CO)O.OCC(CO)(CC)CO', 'c1cc(cc(C(O)=O)c1)C(=O)O.O=C(c1ccc(C(O)=O)cc1)O.C(O)(=O)CCCCC(O)=O.OCCO.OCC(C)(CO)C.CCC(CO)(CO)CO', 'c1c(C(=O)O)cccc1C(O)=O.c1c(ccc(C(=O)O)c1)C(O)=O.C(CC(O)=O)CCC(=O)O.C(CO)O.OCC(C)(C)CO.C(C(CO)(CO)CC)O']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,23.53,0.4838,0.4838,train,"['c1ccc(cc1C(O)=O)C(O)=O.c1(C(O)=O)ccc(cc1)C(=O)O.O=C(O)CCCCC(O)=O.C(CO)O.OCC(CO)(C)C.OCC(CO)(CO)CC', 'OC(c1cccc(C(O)=O)c1)=O.c1cc(C(O)=O)ccc1C(O)=O.C(O)(CCCCC(=O)O)=O.C(O)CO.CC(CO)(CO)C.C(C)C(CO)(CO)CO', 'c1(cccc(C(O)=O)c1)C(O)=O.c1c(ccc(c1)C(=O)O)C(O)=O.O=C(CCCCC(=O)O)O.C(CO)O.C(CO)(C)(C)CO.CCC(CO)(CO)CO', 'O=C(O)c1cc(ccc1)C(=O)O.c1(ccc(cc1)C(=O)O)C(=O)O.C(C(=O)O)CCCC(=O)O.OCCO.CC(CO)(CO)C.C(CO)(CO)(CC)CO', 'c1cc(C(O)=O)cc(c1)C(O)=O.O=C(c1ccc(C(=O)O)cc1)O.C(CCCC(=O)O)C(O)=O.OCCO.OCC(C)(CO)C.CCC(CO)(CO)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,309.2,28.73,0.5812,0.5812,train,"['c1ccc(C(=O)O)cc1C(=O)O.O=C(c1ccc(cc1)C(O)=O)O.C(CC(=O)O)CCC(O)=O.C(CO)O.CC(CO)(CO)C.OCC(CO)(CC)CO', 'c1c(C(=O)O)cccc1C(=O)O.c1cc(C(O)=O)ccc1C(=O)O.C(CCCC(=O)O)C(=O)O.C(O)CO.CC(C)(CO)CO.C(C(CO)(CO)CO)C', 'c1(cc(ccc1)C(=O)O)C(O)=O.c1(C(=O)O)ccc(cc1)C(O)=O.OC(=O)CCCCC(O)=O.OCCO.CC(CO)(C)CO.OCC(CO)(CO)CC', 'OC(c1cccc(C(=O)O)c1)=O.OC(c1ccc(cc1)C(=O)O)=O.C(O)(CCCCC(=O)O)=O.C(O)CO.OCC(CO)(C)C.C(O)C(CO)(CO)CC', 'c1(cccc(c1)C(O)=O)C(=O)O.C(c1ccc(C(=O)O)cc1)(O)=O.C(CC(=O)O)CCC(=O)O.OCCO.C(O)C(CO)(C)C.OCC(CO)(CC)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,343.3,0.25,0.0008,0.0008,train,"['c1c(cc(cc1)C(=O)O)C(=O)O.O=C(c1ccc(C(O)=O)cc1)O.C(CCC(=O)O)CC(=O)O.C(CO)O.C(C(C)(C)CO)O.CCC(CO)(CO)CO', 'OC(c1cccc(C(O)=O)c1)=O.c1(C(O)=O)ccc(cc1)C(=O)O.C(O)(CCCCC(O)=O)=O.C(O)CO.OCC(C)(C)CO.C(C(CC)(CO)CO)O', 'C(=O)(O)c1cccc(C(O)=O)c1.c1c(ccc(C(=O)O)c1)C(O)=O.C(CCC(O)=O)CC(O)=O.OCCO.CC(CO)(C)CO.OCC(CC)(CO)CO', 'C(c1cccc(C(=O)O)c1)(=O)O.C(=O)(O)c1ccc(cc1)C(O)=O.OC(CCCCC(=O)O)=O.OCCO.C(O)C(CO)(C)C.C(O)C(CO)(CO)CC', 'c1c(cccc1C(=O)O)C(=O)O.C(c1ccc(C(=O)O)cc1)(O)=O.C(C(O)=O)CCCC(O)=O.OCCO.OCC(C)(C)CO.OCC(CO)(CC)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,343.3,1.3,0.0093,0.0093,train,"['c1ccc(C(=O)O)cc1C(=O)O.c1cc(ccc1C(O)=O)C(=O)O.O=C(O)CCCCC(O)=O.OCCO.OCC(CO)(C)C.C(O)C(CO)(CO)CC', 'C(=O)(O)c1cc(C(O)=O)ccc1.C(c1ccc(cc1)C(=O)O)(O)=O.OC(=O)CCCCC(=O)O.C(O)CO.CC(CO)(C)CO.OCC(CO)(CC)CO', 'c1c(C(=O)O)cc(cc1)C(=O)O.c1cc(ccc1C(O)=O)C(=O)O.C(=O)(O)CCCCC(=O)O.C(O)CO.CC(CO)(C)CO.C(O)C(CC)(CO)CO', 'c1c(cccc1C(O)=O)C(=O)O.c1c(C(=O)O)ccc(C(O)=O)c1.OC(CCCCC(=O)O)=O.OCCO.C(C(CO)(C)C)O.C(CO)(CO)(CO)CC', 'O=C(c1cc(C(=O)O)ccc1)O.c1(C(=O)O)ccc(cc1)C(=O)O.C(CC(O)=O)CCC(O)=O.C(CO)O.C(C(CO)(C)C)O.OCC(CO)(CO)CC']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,343.3,1.96,0.0138,0.0138,train,"['c1(C(O)=O)cc(C(=O)O)ccc1.c1c(ccc(c1)C(=O)O)C(=O)O.C(C(O)=O)CCCC(=O)O.C(CO)O.C(CO)(CO)(C)C.OCC(CO)(CO)CC', 'c1c(cccc1C(=O)O)C(=O)O.OC(=O)c1ccc(cc1)C(=O)O.C(CC(O)=O)CCC(=O)O.C(CO)O.OCC(C)(C)CO.C(CO)(CO)(CC)CO', 'c1ccc(C(O)=O)cc1C(=O)O.c1cc(C(O)=O)ccc1C(O)=O.C(CCCC(=O)O)C(=O)O.OCCO.C(C(C)(C)CO)O.CCC(CO)(CO)CO', 'c1cc(cc(c1)C(=O)O)C(O)=O.c1(C(=O)O)ccc(C(O)=O)cc1.C(CCC(=O)O)CC(=O)O.OCCO.C(C(C)(C)CO)O.C(CO)(CO)(CC)CO', 'c1ccc(C(O)=O)cc1C(O)=O.O=C(O)c1ccc(cc1)C(=O)O.C(CC(O)=O)CCC(=O)O.OCCO.OCC(C)(C)CO.C(C(CO)(CO)CC)O']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,343.3,4.74,0.0402,0.0402,train,"['C(O)(=O)c1cc(ccc1)C(O)=O.c1cc(C(=O)O)ccc1C(O)=O.OC(=O)CCCCC(O)=O.C(CO)O.CC(CO)(CO)C.C(C)C(CO)(CO)CO', 'c1ccc(C(O)=O)cc1C(O)=O.c1(C(=O)O)ccc(C(=O)O)cc1.C(CCCCC(O)=O)(O)=O.OCCO.C(C)(C)(CO)CO.OCC(CO)(CO)CC', 'OC(c1cc(ccc1)C(O)=O)=O.c1(C(O)=O)ccc(cc1)C(O)=O.C(O)(CCCCC(=O)O)=O.C(CO)O.CC(C)(CO)CO.C(CC)(CO)(CO)CO', 'c1(C(O)=O)cccc(c1)C(O)=O.OC(c1ccc(C(O)=O)cc1)=O.C(CCC(O)=O)CC(O)=O.C(CO)O.C(C(C)(C)CO)O.OCC(CO)(CO)CC', 'C(c1cc(ccc1)C(=O)O)(=O)O.OC(c1ccc(C(=O)O)cc1)=O.C(=O)(O)CCCCC(=O)O.OCCO.CC(CO)(CO)C.OCC(CO)(CC)CO']"
CPE67,C1=CC(=CC(=C1)C(=O)O)C(=O)O.C1=CC(=CC=C1C(=O)O)C(=O)O.C(CCC(=O)O)CC(=O)O.C(CO)O.CC(C)(CO)CO.CCC(CO)(CO)CO,343.3,11.62,0.1296,0.1296,train,"['C(c1cc(C(=O)O)ccc1)(O)=O.c1c(C(=O)O)ccc(C(O)=O)c1.C(C(=O)O)CCCC(O)=O.OCCO.C(C(C)(C)CO)O.OCC(CO)(CC)CO', 'c1(cc(ccc1)C(O)=O)C(O)=O.OC(=O)c1ccc(cc1)C(=O)O.C(CCCCC(O)=O)(=O)O.C(O)CO.C(O)C(C)(CO)C.C(C(CO)(CO)CC)O', 'c1c(C(=O)O)cc(C(O)=O)cc1.OC(c1ccc(cc1)C(O)=O)=O.O=C(O)CCCCC(=O)O.C(CO)O.CC(CO)(C)CO.C(C(CO)(CO)CC)O', 'c1c(C(O)=O)cccc1C(=O)O.c1cc(C(=O)O)ccc1C(=O)O.OC(CCCCC(O)=O)=O.C(CO)O.OCC(C)(CO)C.C(C(CO)(CO)CO)C', 'OC(c1cc(C(O)=O)ccc1)=O.c1(C(O)=O)ccc(cc1)C(O)=O.C(O)(=O)CCCCC(O)=O.C(O)CO.CC(CO)(C)CO.C(C(CO)(CO)CO)C']"
