Dataset,num_of_folds,Features,Targets,Model,r_mean,r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,num_of_data,feature_length,Target,fold,r,r2,rmse,mae
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,NN,0.5739599626192202,0.2849848992089297,0.3030184123763926,0.328747603399855,6.753808581478123,3.514488343827008,4.344062159928575,2.1261471436649284,246.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,BRT,0.5650018422624931,0.2720882811715676,0.2912168775352206,0.2723308328966755,6.82395909233548,3.2516936510167267,4.72098344654232,1.9564252050353956,246.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,RF,0.5526859335868874,0.3358617860305849,0.2938125340306895,0.3180094828247406,6.841008581973439,3.5318887312726384,4.670164415610176,2.1583568855674504,246.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,LSTM,0.3277802676695618,0.3406076613241727,-0.0524289987941783,0.5268401185901381,8.014884955227114,3.1478776675744897,5.590794926111256,1.5882908534235742,246.0,93.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,SVM,0.5955954948202711,0.2605634593347453,0.3485386290922075,0.2264093319427884,6.56812954864493,3.085804835447495,4.859982849969085,1.7719163741696335,246.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_fingerprint,SD,KRR,0.0247206750998063,0.2288663450356838,-0.945149957689728,0.2502139978323794,10.979027286929346,3.0375383663064337,7.659242253997839,2.1942730185120367,246.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,NN,0.3931847951034865,0.2433730970355151,-0.0023593755572192,0.4910602650266899,7.965018322580063,3.705509058752381,5.605678837222588,2.3401727699646635,246.0,96.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,BRT,0.3815843712003526,0.2811649143846426,0.0279433124445502,0.3245766059765917,7.758672868262628,2.7683782285816143,5.8388451847047005,1.4595464905682305,246.0,96.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,RF,0.3497073064826,0.2471881068091848,0.0982884538247816,0.2230007168320438,7.5452108842770835,2.703584723953933,5.410659152008838,1.649227007930171,246.0,96.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,LSTM,0.6549844165799155,0.1912839673707297,0.4105344419957536,0.2614438442716659,6.1972623416905295,3.1259891392968027,4.239877780037433,1.938894249161356,246.0,114.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,SVM,0.4311380543052359,0.2390650863870574,0.1727644603166223,0.2219665248883456,7.302642153630866,2.9138400336856325,5.691327011265323,1.6317130900687302,246.0,96.0,SD,,,,,
Swelling_Xu,7.0,manual_recombined_aug_SMILES,SD,KRR,0.0104107411425046,0.382182487506232,-1.0086322890425303,0.2467291781881555,11.137390349624742,2.9752369219906103,7.818961469886814,2.1013073271299976,246.0,96.0,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,NN,0.5860186357356237,0.2586375985919107,0.410311248834832,0.2534156914420875,6.665893883006878,3.220494048432676,4.678261108624812,1.7661389435590855,77.0,512.0,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,BRT,0.4777872995339174,0.2071545270797964,0.2711937016855674,0.2114340566599336,7.828363758929089,2.399391649689411,5.537727581173568,1.4831876468805445,77.0,,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,RF,0.4975665245443402,0.251322826231918,0.3107356093323324,0.2567272674576115,7.056899223333731,2.8683410872302324,4.889229077023692,1.5088802702641877,77.0,,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,LSTM,0.1503284482672528,0.2851778687719365,-0.1283763705281873,0.2615257158342288,8.393832071502077,2.703641943358346,6.342205227001361,1.0485978785519927,77.0,93.0,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,SVM,0.4765005305732869,0.2531274991607796,0.2911262864680145,0.2091132058976894,7.144080065810995,2.8642293386925166,5.575731915332846,1.7255833165774828,77.0,,SD,,,,,
Swelling_Xu,7.0,fingerprint,SD,KRR,-0.0358633232002238,0.1804923191353391,-0.9532332055712214,0.2402980891122054,10.997788769231294,3.006501873041937,7.655639533225896,2.1505155197915604,77.0,512.0,SD,,,,,
Swelling_Xu,7.0,manual_frag_aug_SMILES,SD,NN,0.4172855653933091,0.1755267184220111,0.0423686431890422,0.2035802434010305,7.726550356361457,2.4163005328222407,5.116421203978356,1.5087180725964744,315.0,87.0,SD,,,,,
Swelling_Xu,7.0,manual_frag_aug_SMILES,SD,BRT,0.510121467739753,0.0962696391062784,0.1025763017372025,0.1498833790028588,7.384851954476086,1.8173732560084257,5.162743757638064,0.8613612214746119,315.0,87.0,SD,,,,,
Swelling_Xu,7.0,manual_frag_aug_SMILES,SD,RF,0.4105708003091776,0.1273802744171732,0.0650723361276515,0.1781461562420608,7.730682455613724,2.7493607970337,5.239932492938747,1.3459557916138307,315.0,87.0,SD,,,,,
Swelling_Xu,7.0,manual_frag_aug_SMILES,SD,GNN,0.6387547230471683,0.249429989480434,0.1914871076158324,0.4300615749859402,7.077748047041069,3.229628159770345,4.695008925135517,1.7726676238468986,,,SD,,,,,
Swelling_Xu,7.0,manual_frag_aug_SMILES,SD,LSTM,0.680349639895586,0.2124179834275807,0.3313724978634633,0.3675895306637698,6.529812670106784,3.614842228058125,4.200011993977951,2.1073293358181813,315.0,108.0,SD,,,,,
