Dataset,num_of_folds,Features,Targets,Model,r_mean,r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,num_of_data,feature_length,Target,fold,r,r2,rmse,mae
CO2_Soleimani,7,fingerprint,exp_CO2_sol_g_g,NN,0.99430504,0.001762601,0.988645619,0.003505752,0.014150979,0.002841974,0.00808563,0.001116623,515,514,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag,exp_CO2_sol_g_g,BRT,0.993393842,0.002305966,0.986836642,0.004583842,0.014993352,0.003512659,0.008857589,0.001802051,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_aug,exp_CO2_sol_g_g,NN,0.992754775,0.002244067,0.985567078,0.00445962,0.015786211,0.002792855,0.009830401,0.001375343,2466,25,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,fingerprint,exp_CO2_sol_g_g,BRT,0.991529968,0.006420038,0.983172894,0.01266968,0.016346871,0.005296473,0.009557347,0.002474121,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,SMILES,exp_CO2_sol_g_g,BRT,0.991271282,0.006562511,0.982661821,0.012936152,0.01633437,0.004420455,0.009854652,0.001794619,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,BigSMILES,exp_CO2_sol_g_g,BRT,0.991180957,0.005533927,0.982470314,0.010915735,0.016801255,0.00365673,0.009723769,0.001624376,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_SMILES,exp_CO2_sol_g_g,BRT,0.991300709,0.004466543,0.982144669,0.009292609,0.016779921,0.003196858,0.01006355,0.00172796,515,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_aug_SMILES,exp_CO2_sol_g_g,BRT,0.990692007,0.002840601,0.980797836,0.005669604,0.017983842,0.002457951,0.009902059,0.000647404,2466,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_recombined_aug_fingerprint,exp_CO2_sol_g_g,BRT,0.988532025,0.004320426,0.976912572,0.008420983,0.019603527,0.003695512,0.010816188,0.001515943,1332,514,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag,exp_CO2_sol_g_g,RF,0.988005857,0.003966742,0.976171308,0.007834769,0.020260213,0.003224859,0.012677084,0.001545511,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_recombined_aug_SMILES,exp_CO2_sol_g_g,BRT,0.987257639,0.008097184,0.974480839,0.01579763,0.020151525,0.006868485,0.011257175,0.002252879,1332,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,BigSMILES,exp_CO2_sol_g_g,RF,0.986736314,0.00554875,0.973679343,0.010934948,0.021078897,0.003659186,0.012742514,0.001596012,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_aug,exp_CO2_sol_g_g,BRT,0.986465715,0.00832375,0.973183891,0.016348463,0.020720926,0.004599098,0.011181269,0.00155614,2466,25,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,fingerprint,exp_CO2_sol_g_g,RF,0.98602692,0.009194883,0.972333633,0.017993595,0.021115167,0.005045312,0.012596853,0.001589115,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_SMILES,exp_CO2_sol_g_g,RF,0.985998286,0.007124816,0.971117511,0.014697263,0.021414239,0.004396135,0.01285316,0.001839273,515,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,Augmented_SMILES,exp_CO2_sol_g_g,BRT,0.985016702,0.011863212,0.970398638,0.023122552,0.021627361,0.005792789,0.012063854,0.001791213,2238,107,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,SMILES,exp_CO2_sol_g_g,RF,0.983777129,0.010208189,0.967921646,0.019972951,0.022688515,0.006134964,0.012847216,0.001985034,515,,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag,exp_CO2_sol_g_g,NN,0.982359181,0.007373065,0.965083923,0.014423972,0.02468297,0.005315361,0.01540774,0.002837039,515,25,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_recombined_aug_fingerprint,exp_CO2_sol_g_g,RF,0.979926431,0.009102312,0.959587784,0.017934685,0.025427711,0.00559446,0.014394911,0.001794199,1332,514,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,Augmented_SMILES,exp_CO2_sol_g_g,RF,0.975553519,0.012685255,0.951865583,0.024721458,0.028046378,0.007393232,0.015705747,0.002633878,2238,107,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_recombined_aug_SMILES,exp_CO2_sol_g_g,RF,0.974827902,0.014373271,0.949500148,0.028861433,0.02778153,0.007504689,0.015313836,0.002456209,1332,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_frag_aug_SMILES,exp_CO2_sol_g_g,RF,0.974284029,0.011870861,0.948757045,0.022843262,0.028699317,0.006708714,0.015881934,0.002004646,2466,95,exp_CO2_sol_g_g,,,,,
CO2_Soleimani,7,manual_recombined_aug_fingerprint,exp_CO2_sol_g_g,NN,0.974803421,0.015886633,0.948500938,0.031994867,0.028277462,0.010053531,0.013572903,0.002473555,1332,514,exp_CO2_sol_g_g,,,,,
